epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,674.717,2.26965,2.40455,1.05704,0.74694,0.52131,0.53488,0.27836,1.87906,8.74405,0.97316,0.000331224,0.000331224,0.000331224
2,1325.72,2.05628,1.45928,1.01818,0.70417,0.62352,0.63135,0.34066,1.85675,8.00312,0.99067,0.000657978,0.000657978,0.000657978
3,1968.26,2.01814,1.30387,1.00985,0.79831,0.58413,0.62464,0.33494,1.93502,4.27412,1.00354,0.000978132,0.000978132,0.000978132
4,2611.18,2.00866,1.23362,1.00463,0.75547,0.59642,0.63853,0.35529,1.79885,3.49862,0.97133,0.0009703,0.0009703,0.0009703
5,3252.92,1.96717,1.12917,0.99507,0.80971,0.6149,0.70262,0.38776,1.76164,2.98391,0.96478,0.0009604,0.0009604,0.0009604
6,3895.53,1.92367,1.06036,0.98661,0.87113,0.63438,0.71131,0.41002,1.7804,2.51594,0.95507,0.0009505,0.0009505,0.0009505
7,4536.69,1.93645,1.05107,0.99404,0.87031,0.64491,0.71981,0.40655,1.7569,2.3694,0.96693,0.0009406,0.0009406,0.0009406
8,5179.01,1.88762,1.00785,0.98369,0.89708,0.65326,0.7486,0.42014,1.72395,2.02667,0.94825,0.0009307,0.0009307,0.0009307
9,5821.04,1.86663,0.9742,0.97477,0.78505,0.68183,0.74227,0.41251,1.74204,1.57224,0.95741,0.0009208,0.0009208,0.0009208
10,6463.45,1.86582,0.95877,0.97622,0.8241,0.68725,0.75497,0.42367,1.74986,2.49143,0.94935,0.0009109,0.0009109,0.0009109
11,7104.65,1.83045,0.94349,0.96881,0.85584,0.68768,0.76596,0.44634,1.74232,1.4428,0.95304,0.000901,0.000901,0.000901
12,7745.3,1.82761,0.92574,0.96517,0.81537,0.72105,0.77302,0.44977,1.68857,2.02769,0.93556,0.0008911,0.0008911,0.0008911
13,8387.07,1.82007,0.91186,0.96633,0.84928,0.72957,0.79759,0.4628,1.68601,1.51345,0.93836,0.0008812,0.0008812,0.0008812
14,9031.3,1.79588,0.89228,0.96188,0.84695,0.74423,0.8007,0.46538,1.6971,1.39236,0.94192,0.0008713,0.0008713,0.0008713
15,9672.85,1.79815,0.88767,0.96253,0.80224,0.72209,0.77768,0.42523,1.83577,1.42735,0.97007,0.0008614,0.0008614,0.0008614
16,10318.4,1.77606,0.88069,0.95644,0.82676,0.74536,0.80778,0.46662,1.70081,1.83378,0.93593,0.0008515,0.0008515,0.0008515
17,10985.5,1.7567,0.86351,0.95457,0.82504,0.7461,0.79858,0.45353,1.66805,1.22432,0.93465,0.0008416,0.0008416,0.0008416
18,11631.1,1.75258,0.86005,0.95032,0.89211,0.70731,0.81198,0.47549,1.65648,1.63355,0.93444,0.0008317,0.0008317,0.0008317
19,12274.7,1.75623,0.8447,0.94613,0.85418,0.7452,0.79556,0.48059,1.65609,1.18495,0.92996,0.0008218,0.0008218,0.0008218
