epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4874,2.06623,5.40641,0.47541,3.41434,1.66236,0.81644,0.82946,0.92764,0.52761,0.41487,0.475,0.37881,0.20814,1.48957,5.01263,0.26306,1.72876,1.19427,0.00011669,0.00011669,0.00011669
2,65.3121,1.38476,4.68187,0.27676,2.11293,1.21596,0.8884,0.875,0.95887,0.61304,0.53034,0.575,0.49682,0.1705,1.1581,4.18843,0.14187,1.73474,0.99293,0.00020054,0.00020054,0.00020054
3,97.255,1.16228,4.42356,0.2592,1.9977,1.07443,0.87737,0.92187,0.95925,0.54773,0.55955,0.5125,0.4584,0.1812,1.40443,4.84033,0.12373,1.43736,1.04221,0.00023158,0.00023158,0.00023158
4,129.034,1.14425,4.42825,0.25408,1.66263,1.04765,0.86752,0.81389,0.975,0.61476,0.53507,0.5125,0.46437,0.24439,1.10727,4.69107,0.11666,1.88808,0.9825,0.000209809,0.000209809,0.000209809
5,160.915,1.04256,3.48254,0.26772,1.53022,1.00627,0.95831,0.83025,0.97864,0.6474,0.55415,0.5125,0.4689,0.22497,1.01535,4.86945,0.11777,1.56643,0.9628,0.000135227,0.000135227,0.000135227
1,90.5239,1.63777,6.22254,0.35699,2.58498,1.29432,0.82746,0.82857,0.87801,0.50454,0.21992,0.23571,0.13719,0.02302,1.34319,5.94407,0.22381,1.64739,1.1142,0.00038341,0.00038341,0.00038341
2,180.313,1.27062,5.9178,0.28471,1.87104,1.10705,0.59527,0.79363,0.6984,0.40745,0.19519,0.25357,0.08603,0.01995,1.26741,6.72104,0.1239,2.60532,1.13953,0.000628359,0.000628359,0.000628359
3,270.35,1.15865,5.86742,0.25772,1.61208,1.05372,0.80008,0.7865,0.86929,0.53779,0.24175,0.28407,0.1302,0.03161,1.20921,6.11081,0.10709,2.06017,1.15277,0.000714876,0.000714876,0.000714876
4,360.176,1.11138,5.39115,0.26149,1.4326,1.04652,0.82818,0.85071,0.9016,0.57526,0.23962,0.26929,0.11188,0.0273,1.14633,6.30448,0.11123,1.69624,1.13034,0.000642962,0.000642962,0.000642962
5,449.93,1.06884,5.37236,0.20373,1.31424,1.01371,0.89901,0.91466,0.95871,0.60224,0.31362,0.30929,0.17241,0.04488,1.22697,5.86603,0.10501,1.23961,1.1243,0.000346736,0.000346736,0.000346736
1,89.7344,1.63777,6.22254,0.35699,2.58498,1.29432,0.82746,0.82857,0.87801,0.50454,0.21992,0.23571,0.13719,0.02302,1.34319,5.94407,0.22381,1.64739,1.1142,0.00038341,0.00038341,0.00038341
2,179.339,1.30801,6.08787,0.28799,1.94566,1.12796,0.65519,0.79071,0.75507,0.3993,0.22619,0.21786,0.12745,0.02851,1.35241,6.99092,0.12965,3.80348,1.18139,0.000775733,0.000775733,0.000775733
3,269.244,1.25222,6.34208,0.28029,1.69504,1.10529,0.70073,0.83984,0.80119,0.49544,0.21644,0.21571,0.13836,0.02179,1.18418,6.52486,0.12045,2.98031,1.13844,0.00116014,0.00116014,0.00116014
4,358.732,1.31602,6.38815,0.28549,1.53683,1.13724,0.81932,0.86429,0.8529,0.48268,0.14723,0.13786,0.04445,0.00605,1.37633,7.48809,0.14847,2.101,1.29366,0.00153662,0.00153662,0.00153662
5,447.906,1.2652,6.71093,0.23234,1.4599,1.14291,0.60831,0.59,0.60385,0.32804,0.24097,0.19786,0.14119,0.03113,1.62722,7.75129,0.12281,3.14041,1.41121,0.00160099,0.00160099,0.00160099
6,536.869,1.30293,6.52056,0.24796,1.37187,1.14953,0.5985,0.46714,0.55133,0.34215,0.117,0.08,0.04279,0.0068,1.44314,7.87789,0.1312,4.18607,1.31769,0.00158448,0.00158448,0.00158448
7,625.856,1.29413,6.37067,0.24368,1.24678,1.1193,0.72801,0.79929,0.84205,0.45763,0.202,0.16,0.0866,0.01353,1.53841,7.34809,0.09034,2.18987,1.40562,0.00156798,0.00156798,0.00156798
8,715.742,1.20223,6.22746,0.25234,1.14943,1.11237,0.75418,0.74143,0.79825,0.43938,0.2702,0.19786,0.14056,0.02389,1.58741,7.12411,0.09614,1.85726,1.44275,0.00155148,0.00155148,0.00155148
9,805.399,1.14477,6.08907,0.24185,1.06801,1.11801,0.85218,0.73714,0.84547,0.48256,0.226,0.21786,0.13548,0.02447,1.52476,7.01102,0.17472,1.80759,1.3458,0.00153497,0.00153497,0.00153497
10,894.708,1.19563,5.66684,0.23238,1.03349,1.09863,0.98107,0.85837,0.9403,0.5574,0.28574,0.25357,0.13631,0.02271,1.34189,6.89739,0.07968,1.16812,1.24142,0.00151847,0.00151847,0.00151847
