epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4844,1.63607,6.67873,0.39047,3.63995,1.45706,0.49931,0.55602,0.51227,0.31603,0.04886,0.07786,0.00892,0.00104,1.30749,7.66122,0.19095,4.28152,1.33874,0.00038341,0.00038341,0.00038341
2,23.8481,1.43645,7.0874,0.30661,2.3054,1.27871,0.49723,0.39762,0.46092,0.23071,1,0.02,0.01793,0.00533,1.77784,8.27275,0.19965,5.41993,1.61068,0.000775733,0.000775733,0.000775733
3,34.4731,1.46268,7.48801,0.28075,1.91944,1.28643,0.11445,0.325,0.12144,0.03992,0,0,0,0,2.56221,8.82675,0.45985,13.1631,2.4562,0.00116014,0.00116014,0.00116014
4,44.6439,1.45273,7.53156,0.29301,1.75289,1.27031,0.17981,0.63,0.11403,0.04884,0,0,0,0,1.90558,8.51768,0.14127,24.4563,1.8114,0.00153662,0.00153662,0.00153662
5,57.052,1.46435,7.77853,0.28159,1.57858,1.33624,0.01979,0.33857,0.0114,0.00595,0,0,0,0,2.21152,9.49599,0.30479,50.779,2.03922,0.00160099,0.00160099,0.00160099
6,69.7537,1.53021,7.51918,0.30977,1.57251,1.30732,0.30523,0.41429,0.24026,0.11924,0,0,0,0,2.52132,10.0503,0.28076,7.1369,2.51924,0.00158448,0.00158448,0.00158448
7,82.4423,1.37087,7.57272,0.27308,1.31607,1.25098,0.17331,0.64357,0.20351,0.07954,0.00124,0.04,0.00016,2e-05,1.84799,9.25947,0.14728,31.1853,1.75631,0.00156798,0.00156798,0.00156798
8,95.1363,1.36898,7.25187,0.27639,1.27561,1.28365,0.57521,0.69337,0.60761,0.30207,0.05853,0.1,0.01822,0.00312,1.80244,8.52065,0.12747,5.16074,1.71565,0.00155148,0.00155148,0.00155148
9,106.97,1.31159,7.18068,0.22661,1.18131,1.2025,0.73624,0.51646,0.68374,0.35143,0.06869,0.02,0.0103,0.00104,1.7102,8.12752,0.16532,2.22062,1.55402,0.00153497,0.00153497,0.00153497
10,117.538,1.31197,6.96847,0.24925,1.11366,1.22065,0.64668,0.61983,0.65458,0.39979,0.06421,0.04,0.00928,0.00186,1.70998,8.12397,0.24768,2.43665,1.59474,0.00151847,0.00151847,0.00151847
11,130.82,1.29901,7.06346,0.26754,1.05393,1.23559,0.79004,0.73719,0.71746,0.37774,0.15344,0.1,0.06599,0.01718,1.7034,7.75567,0.11621,3.72955,1.60291,0.00150197,0.00150197,0.00150197
12,145.443,1.18804,6.76321,0.22131,1.02171,1.16578,0.8469,0.6902,0.76781,0.44499,0.17524,0.1,0.06747,0.01598,1.65095,7.7904,0.10371,3.11066,1.50329,0.00148546,0.00148546,0.00148546
13,158.219,1.20817,6.5505,0.24681,0.94422,1.17312,0.8214,0.71929,0.82804,0.44588,0.21859,0.16,0.10375,0.01405,1.46567,7.57142,0.09121,1.51769,1.36221,0.00146896,0.00146896,0.00146896
14,170.76,1.21834,6.38552,0.21131,0.9237,1.13876,0.61995,0.70827,0.71739,0.41242,0.17524,0.08,0.06572,0.01404,1.49698,7.45057,0.14039,2.14401,1.43416,0.00145246,0.00145246,0.00145246
15,183.668,1.22175,6.34056,0.2255,0.96372,1.15836,0.92812,0.59799,0.76106,0.43978,0.19748,0.14,0.05861,0.01167,1.66165,7.25705,0.08943,1.24544,1.51113,0.00143595,0.00143595,0.00143595
16,196.437,1.13446,6.20569,0.19907,0.87057,1.098,0.76822,0.66152,0.80243,0.45897,0.25596,0.21571,0.12173,0.03397,1.55248,7.2147,0.06948,2.0415,1.43926,0.00141945,0.00141945,0.00141945
17,209.312,1.03106,6.12814,0.21783,0.78545,1.09079,0.95339,0.73808,0.87609,0.54509,0.20676,0.15786,0.07363,0.01066,1.40404,7.30089,0.08831,1.23696,1.31477,0.00140295,0.00140295,0.00140295
18,221.205,1.09018,6.12039,0.18756,0.80904,1.06956,0.9514,0.80649,0.92189,0.53537,0.17099,0.13786,0.07412,0.0102,1.43237,7.24849,0.08025,0.95288,1.32751,0.00138644,0.00138644,0.00138644
19,233.204,1.07443,5.93224,0.20981,0.79348,1.06642,0.8386,0.81398,0.89087,0.47784,0.20145,0.19571,0.0993,0.02326,1.5339,7.3544,0.13072,1.01184,1.40044,0.00136994,0.00136994,0.00136994
20,242.973,1.02836,6.15823,0.20586,0.76825,1.04163,0.87129,0.76895,0.89245,0.55967,0.18984,0.15571,0.0882,0.02242,1.2844,6.96178,0.07571,1.0755,1.29869,0.00135344,0.00135344,0.00135344
21,257.82,1.04188,5.92177,0.19898,0.80707,1.09742,0.87835,0.815,0.88594,0.49863,0.24293,0.17786,0.11949,0.02709,1.42759,7.17031,0.08615,0.95981,1.34574,0.00133693,0.00133693,0.00133693
22,269.975,1.02774,5.69404,0.20479,0.73275,1.06251,0.83535,0.81372,0.81746,0.46871,0.25592,0.21571,0.09692,0.03341,1.45582,7.06912,0.07054,1.20778,1.33843,0.00132043,0.00132043,0.00132043
23,279.427,0.98858,5.52779,0.1759,0.71165,1.04173,0.86797,0.87135,0.92175,0.53865,0.31025,0.13786,0.12191,0.03084,1.39668,6.76668,0.0624,0.89106,1.30952,0.00130393,0.00130393,0.00130393
24,290.746,0.95579,5.337,0.16779,0.67385,1.02211,0.89374,0.92429,0.93161,0.55841,0.23409,0.19571,0.11126,0.02729,1.3858,7.02119,0.06277,0.88085,1.31031,0.00128742,0.00128742,0.00128742
25,300.563,0.92649,5.28622,0.16438,0.68309,1.01024,0.82505,0.87071,0.9269,0.57332,0.3236,0.25357,0.17976,0.04152,1.29856,6.81263,0.05593,0.91126,1.28935,0.00127092,0.00127092,0.00127092
26,310.304,0.98085,5.36845,0.20008,0.6814,1.07415,0.94407,0.90032,0.94937,0.58052,0.36517,0.25143,0.18565,0.03558,1.30175,6.9989,0.07349,0.74343,1.31819,0.00125442,0.00125442,0.00125442
27,320.027,0.93081,5.43897,0.20121,0.71511,1.04292,0.88497,0.88026,0.94638,0.60312,0.32272,0.21571,0.18742,0.04435,1.24726,6.99819,0.08298,0.75733,1.2299,0.00123791,0.00123791,0.00123791
28,329.66,0.91334,5.18147,0.16922,0.66549,1.02187,0.93097,0.90258,0.95373,0.59686,0.26128,0.21571,0.12981,0.03202,1.22905,6.91679,0.09211,0.81819,1.24638,0.00122141,0.00122141,0.00122141
29,338.988,0.92525,4.96762,0.20005,0.6542,1.05541,0.96154,0.89462,0.93495,0.60548,0.30585,0.23357,0.16271,0.04296,1.22257,7.05676,0.10015,0.81854,1.22791,0.00120491,0.00120491,0.00120491
30,348.004,0.92508,5.11536,0.19398,0.67049,1.03513,0.90705,0.88857,0.94368,0.51548,0.37855,0.27143,0.16219,0.03361,1.43494,7.2121,0.11422,0.80041,1.34662,0.0011884,0.0011884,0.0011884
31,357.398,0.88385,4.98277,0.18751,0.61747,0.99262,0.90503,0.77714,0.84696,0.54604,0.25842,0.17357,0.09887,0.02686,1.29855,6.83247,0.08904,0.82818,1.27903,0.0011719,0.0011719,0.0011719
32,366.809,0.8684,4.90372,0.17076,0.5994,1.02247,0.91695,0.83577,0.91523,0.60236,0.36604,0.27143,0.16214,0.03447,1.2852,6.67721,0.08597,0.77552,1.19136,0.0011554,0.0011554,0.0011554
33,376.081,0.85776,4.95809,0.17251,0.623,1.009,0.89125,0.88857,0.92704,0.58877,0.2843,0.25357,0.13874,0.03754,1.21892,6.54755,0.07078,0.73757,1.14891,0.00113889,0.00113889,0.00113889
34,385.363,0.86147,4.97262,0.19334,0.6074,1.00383,0.71478,0.79929,0.83447,0.54964,0.43769,0.23357,0.18472,0.05768,1.22469,6.75239,0.17501,0.94412,1.1842,0.00112239,0.00112239,0.00112239
35,395.319,0.85848,4.55411,0.17231,0.5906,0.99543,0.95391,0.92214,0.98091,0.57925,0.30545,0.27143,0.17981,0.06088,1.33119,6.70887,0.14333,0.72902,1.24992,0.00110589,0.00110589,0.00110589
36,404.578,0.88286,4.56847,0.16738,0.61691,1.01198,0.95954,0.90429,0.97025,0.61377,0.45247,0.27143,0.19392,0.05781,1.23788,6.68606,0.11786,0.69136,1.19158,0.00108938,0.00108938,0.00108938
